HST_ID,X,X_err,Y,Y_err,F606W_Vegamag,F606W_mag_err,F814W_Vegamag,F814W_mag_err,N_detect,HST_Field,F098M_Vegamag,F098M_mag_err,F139M_Vegamag,F139M_mag_err,F153M_Vegamag,F153M_mag_err,F167N_Vegamag,F167N_mag_err,F130N_Vegamag,F130N_mag_err,GaiaDR3_ID,Gmag,BPmag,RPmag,RA,DEC,distance
GB01097910,4309.422,0.021,5501.965,0.027,22.504,0.003,18.931,0.008,4,HD43_ACSWFC,16.878,0.004,14.866,0.003,14.449,0.004,14.160,0.005,,,,20.495,,,267.7582772,-29.0590259,25.793707945545886
GB17343695,4007.474,0.127,4622.178,0.007,,,22.457,0.003,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7621241,-29.0688038,25.794968857212396
GB06360334,4076.736,0.204,4514.758,0.040,25.013,,20.957,0.010,3,HD43_ACSWFC,,,,,,,,,,,,,,,267.7612437,-29.0699977,25.803059473230135
GB11720888,4921.143,0.135,4368.933,0.032,25.478,0.046,21.748,0.002,4,HD43_ACSWFC,19.522,0.017,17.260,0.010,16.788,0.014,16.454,0.018,,,,,,,267.7505119,-29.0716215,25.809750304237102
GB13025237,4091.064,0.048,5337.430,0.221,25.464,,21.914,,2,HD43_ACSWFC,19.813,0.020,17.578,0.012,17.223,0.019,16.905,0.025,,,,,,,267.7610573,-29.0608552,25.81718349925101
GB17874724,4990.673,0.088,4418.095,0.237,,,22.527,0.026,2,HD43_ACSWFC,20.566,0.032,18.517,0.021,18.190,0.036,17.922,0.052,,,,,,,267.7496274,-29.0710753,25.829673227928033
GB13672654,5014.396,0.165,4438.070,0.139,25.384,0.055,21.995,0.027,4,HD43_ACSWFC,20.098,0.024,18.084,0.016,17.736,0.027,17.478,0.038,,,,,,,267.7493258,-29.0708533,25.843389523852526
GB17164273,5044.865,0.340,4465.147,0.001,25.588,,22.433,,2,HD43_ACSWFC,20.456,0.030,18.434,0.020,18.041,0.032,17.754,0.046,,,,,,,267.7489385,-29.0705519,25.907099652749665
GB00718321,4333.173,0.010,4318.906,0.035,21.917,0.021,18.243,0.008,4,HD43_ACSWFC,,,,,,,,,,,4057339296831011968,,,,267.7579868,-29.0721758,25.90826872253314
GB09897459,4137.662,0.027,4445.042,0.044,24.423,0.065,21.505,0.025,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7604710,-29.0707731,25.908560372733604
GB19186826,4162.099,0.005,5411.349,0.257,,,22.711,0.004,2,HD43_ACSWFC,20.659,0.036,18.658,0.023,18.401,0.042,18.035,0.057,,,,,,,267.7601506,-29.0600325,25.909932984720545
GB01972337,3933.539,0.018,4948.062,0.017,21.504,0.013,19.720,0.008,4,HD43_ACSWFC,18.624,0.010,17.470,0.011,17.191,0.018,17.047,0.027,,,4057339301202684160,20.841,21.212,,267.7630606,-29.0651812,25.918279221881143
GB00119713,4362.294,0.065,5527.460,0.047,17.431,0.016,16.129,0.005,4,HD43_ACSWFC,15.221,0.002,14.351,0.002,14.173,0.003,14.067,0.005,,,4057339296822355072,16.990,17.814,15.924,267.7576049,-29.0587427,25.93657246488335
GB01351500,4514.855,0.022,4272.272,0.046,22.905,0.012,19.244,0.022,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7556777,-29.0726947,25.937350725539698
GB14049901,4746.071,0.021,5544.068,0.046,,,22.042,0.016,2,HD43_ACSWFC,20.366,0.030,18.568,0.023,18.218,0.038,17.964,0.056,,,,,,,267.7527266,-29.0585592,25.9480192049496
GB01176408,4045.319,0.036,4551.167,0.019,20.835,0.001,19.038,0.013,4,HD43_ACSWFC,,,,,,,,,,,4057339301118790528,,,,267.7616438,-29.0695932,25.950469307403203
GB18658338,4226.604,0.074,4373.314,0.062,25.728,,22.635,0.038,3,HD43_ACSWFC,,,,,,,,,,,,,,,267.7593421,-29.0715710,25.972631554933887
GB17348631,3959.344,0.061,5110.298,0.054,25.767,,22.458,0.005,3,HD43_ACSWFC,20.527,0.032,18.668,0.023,18.316,0.040,18.074,0.058,,,,,,,267.7627321,-29.0633783,26.031489878008166
GB19078509,4105.059,0.087,5361.691,0.005,,,22.695,0.028,2,HD43_ACSWFC,20.551,0.033,18.541,0.021,18.271,0.038,18.022,0.056,,,,,,,267.7608762,-29.0605843,26.04403220900272
GB22083495,3962.294,0.176,4712.392,0.060,,,23.595,0.142,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7626975,-29.0678009,26.063362299536834
GB00588239,4736.933,0.013,5549.634,0.009,20.000,0.003,17.930,0.019,4,HD43_ACSWFC,16.638,0.003,15.388,0.004,15.144,0.006,14.995,0.008,,,4057339507277562368,19.180,20.693,17.838,267.7528427,-29.0584973,26.073352189927647
GB10665435,4573.248,0.061,5568.849,0.011,24.974,0.057,21.609,,3,HD43_ACSWFC,,,,,,,,,,,,,,,267.7549222,-29.0582827,26.083779037203577
GB22135672,4067.232,0.684,4515.428,0.969,23.718,,23.806,,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7613659,-29.0699900,26.087660474612445
GB16387238,5154.704,0.148,5227.831,0.020,25.674,,22.334,,2,HD43_ACSWFC,20.371,0.029,18.338,0.018,17.986,0.031,17.720,0.044,,,,,,,267.7475324,-29.0620742,26.122199176161097
GB01931789,4313.609,0.013,5512.896,0.011,21.449,0.010,19.697,,3,HD43_ACSWFC,18.612,0.010,17.441,0.011,17.211,0.019,17.032,0.028,,,,,,,267.7582230,-29.0589038,26.12314335568426
GB14229391,5078.655,0.183,5339.391,0.067,25.290,0.089,22.064,0.079,4,HD43_ACSWFC,19.962,0.022,18.040,0.015,17.686,0.026,17.468,0.037,,,,,,,267.7485010,-29.0608351,26.123548860633868
GB01306884,5051.064,0.031,5370.589,0.053,22.827,0.032,19.195,0.024,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7488515,-29.0604883,26.142787762846122
GB13634799,4414.474,0.074,4285.370,0.127,25.699,,21.990,0.010,3,HD43_ACSWFC,,,,,,,,,,,,,,,267.7569547,-29.0725491,26.14324670372049
GB17603530,5021.904,0.102,4434.138,0.003,25.517,,22.491,,2,HD43_ACSWFC,20.566,0.033,18.554,0.021,18.264,0.038,17.872,0.050,,,,,,,267.7492307,-29.0708965,26.159682752025006
GB11863834,5219.113,0.109,4773.576,0.057,24.622,0.011,21.766,0.035,4,HD43_ACSWFC,20.295,0.027,19.037,0.031,18.718,0.055,18.596,0.092,,,,,,,267.7467205,-29.0671246,26.16715734232806
GB08786525,4939.333,0.103,5464.559,0.058,24.753,0.016,21.346,0.020,4,HD43_ACSWFC,19.276,0.014,17.406,0.011,17.079,0.017,16.835,0.024,,,,,,,267.7502708,-29.0594435,26.189378578249823
GB10284532,5137.773,0.079,5261.144,0.074,24.259,0.026,21.558,0.038,4,HD43_ACSWFC,20.227,0.026,18.909,0.027,18.613,0.049,18.341,0.072,,,,,,,267.7477503,-29.0617050,26.194519709672853
GB13411249,4958.971,0.394,5452.274,0.148,25.748,,21.962,0.023,3,HD43_ACSWFC,19.829,0.020,17.727,0.013,17.324,0.020,17.133,0.029,,,,,,,267.7500202,-29.0595799,26.227435355425346
GB00702491,4191.938,0.021,4388.973,0.033,22.062,0.006,18.207,0.015,4,HD43_ACSWFC,,,,,,,,,,,4057339296831013888,,,,267.7597816,-29.0713965,26.244807241200864
GB04704862,5193.259,0.065,4680.203,0.065,24.311,0.052,20.629,0.017,4,HD43_ACSWFC,18.471,0.009,16.258,0.005,15.861,0.008,15.513,0.010,,,,,,,267.7470500,-29.0681624,26.26340519217109
GB13848426,3970.409,0.061,5159.531,0.111,25.423,0.115,22.017,0.016,4,HD43_ACSWFC,20.055,0.029,18.165,0.018,17.833,0.029,17.644,0.043,,,,,,,267.7625898,-29.0628308,26.26732122245425
GB00905612,3942.810,0.026,4760.968,0.022,22.403,0.022,18.620,0.006,4,HD43_ACSWFC,,,,,,,,,,,4057339301118814464,,,,267.7629447,-29.0672608,26.274728192404567
GB15765550,5105.251,0.244,5313.415,0.239,,,22.255,0.053,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7481631,-29.0611239,26.303907420744753
GB06816285,4103.223,0.077,4464.962,0.049,24.859,0.041,21.036,0.033,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7609086,-29.0705515,26.31557631883026
GB06183346,5019.660,0.165,5406.902,0.046,24.718,0.042,20.925,0.047,4,HD43_ACSWFC,18.683,0.010,16.463,0.006,16.018,0.009,15.694,0.011,,,,,,,267.7492503,-29.0600846,26.31774326937107
GB15786803,3994.915,0.107,4617.889,0.118,25.676,0.038,22.258,0.024,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7622838,-29.0688513,26.320172716640666
GB15625906,5228.020,0.093,5036.585,0.076,25.492,,22.238,0.052,3,HD43_ACSWFC,20.317,0.027,18.510,0.021,18.247,0.038,17.927,0.052,,,,,,,267.7466061,-29.0642014,26.324924968357312
GB19504412,4688.550,0.284,5566.104,0.140,,,22.759,0.110,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7534575,-29.0583141,26.327648520417217
GB14437752,4371.438,0.057,5541.212,0.053,,,22.090,0.053,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7574885,-29.0585898,26.33713158381234
GB17035012,5203.218,0.159,4702.245,0.041,25.772,,22.417,,2,HD43_ACSWFC,20.305,0.028,18.233,0.018,17.908,0.030,17.686,0.045,,,,,,,267.7469202,-29.0679162,26.34222934138118
GB01040826,5131.562,0.032,4554.889,0.020,22.414,0.008,18.846,0.017,4,HD43_ACSWFC,16.827,0.004,14.788,0.003,14.356,0.004,14.082,0.005,,,4057339266770749824,20.356,21.829,19.265,267.7478353,-29.0695551,26.364266078373408
GB07994046,4599.418,0.094,5575.862,0.034,24.500,0.079,21.227,0.003,4,HD43_ACSWFC,19.318,0.015,17.396,0.011,17.035,0.017,16.750,0.023,,,,,,,267.7545904,-29.0582054,26.371642080258898
GB15352329,4380.324,0.076,5545.319,0.134,,,22.204,0.067,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7573755,-29.0585442,26.3828812507974
GB02526105,5236.139,0.049,4994.628,0.021,22.184,0.000,19.988,0.030,4,HD43_ACSWFC,18.777,0.011,17.549,0.011,17.185,0.019,17.055,0.028,,,,,,,267.7465022,-29.0646676,26.397387312231775
GB19444517,3960.402,0.127,5142.495,0.124,,,22.750,0.113,2,HD43_ACSWFC,20.894,0.042,18.909,0.027,18.572,0.049,18.328,0.075,,,,,,,267.7627172,-29.0630202,26.399345371148055
GB17872820,4403.837,0.168,4281.619,0.124,25.699,,22.527,0.014,3,HD43_ACSWFC,,,,,,,,,,,,,,,267.7570900,-29.0725908,26.39972674027235
GB00127645,5045.992,0.040,5385.749,0.015,17.420,0.003,16.193,0.008,4,HD43_ACSWFC,15.335,0.002,14.585,0.002,14.442,0.004,14.378,0.006,,,4057339502975975424,17.053,17.776,16.018,267.7489158,-29.0603198,26.424378116929013
GB19982161,3922.356,0.151,4859.379,0.070,,,22.837,0.170,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7632037,-29.0661669,26.438694883777284
GB20915034,4209.342,0.017,5465.112,0.170,,,23.016,0.138,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7595496,-29.0594351,26.482708471304043
GB01135478,5103.210,0.017,5323.437,0.037,22.708,0.027,18.984,0.014,4,HD43_ACSWFC,16.799,0.004,14.569,0.002,14.146,0.003,13.786,0.004,,,4057339507288895360,20.514,22.163,19.456,267.7481890,-29.0610125,26.483172274304977
GB01754232,4417.186,0.047,4275.748,0.034,23.301,0.018,19.584,0.018,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7569193,-29.0726558,26.486994449479457
GB14432968,4236.198,0.021,4352.000,0.041,25.490,,22.089,0.026,3,HD43_ACSWFC,,,,,,,,,,,,,,,267.7592204,-29.0718079,26.48950426167161
GB18863583,4395.992,0.006,5553.126,0.013,,,22.664,0.012,2,HD43_ACSWFC,20.473,0.031,18.461,0.021,18.131,0.036,17.892,0.052,,,,,,,267.7571763,-29.0584575,26.49928378327282
GB09917941,3947.953,0.026,5114.270,0.115,24.443,0.024,21.508,0.033,4,HD43_ACSWFC,20.074,0.023,18.650,0.023,18.330,0.040,18.030,0.056,,,,,,,267.7628757,-29.0633338,26.510558202800077
GB12157934,4766.121,0.178,5553.261,0.075,24.979,0.022,21.804,0.012,4,HD43_ACSWFC,19.921,0.023,18.148,0.019,17.800,0.033,17.525,0.045,,,,,,,267.7524717,-29.0584571,26.51706868538275
GB15422860,4963.831,0.097,5458.074,0.159,25.676,0.013,22.212,0.068,4,HD43_ACSWFC,20.259,0.027,18.192,0.017,17.788,0.027,17.563,0.040,,,,,,,267.7499595,-29.0595157,26.52643710632132
GB00739652,4379.174,0.002,4285.153,0.021,21.816,0.010,18.290,0.008,4,HD43_ACSWFC,,,,,,,,,,,4057339301118803456,,,,267.7574024,-29.0725511,26.544750385141725
GB20794888,4166.612,0.051,5436.044,0.066,,,22.989,0.139,2,HD43_ACSWFC,20.740,0.037,18.938,0.029,18.473,0.045,18.520,0.085,,,,,,,267.7600930,-29.0597581,26.55849315714478
GB00805285,4347.422,0.012,5539.353,0.021,19.951,0.018,18.428,0.012,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7577938,-29.0586104,26.588002679186463
GB21113022,4907.881,0.056,5495.817,0.169,,,23.063,0.011,2,HD43_ACSWFC,20.927,0.043,18.818,0.025,18.432,0.043,18.037,0.056,,,,,,,267.7506702,-29.0590960,26.603440881226884
GB14817418,4802.730,0.145,5544.554,0.095,25.372,0.030,22.137,0.017,4,HD43_ACSWFC,20.246,0.026,18.393,0.019,18.091,0.033,17.851,0.049,,,,,,,267.7520064,-29.0585540,26.635000336581996
GB07225860,4120.487,0.067,5399.775,0.048,24.458,0.052,21.105,0.006,4,HD43_ACSWFC,19.191,0.013,17.378,0.010,17.064,0.017,16.825,0.024,,,,,,,267.7606797,-29.0601611,26.677855283731667
GB02077630,5245.863,0.039,4858.176,0.022,23.579,0.020,19.778,0.017,4,HD43_ACSWFC,17.622,0.006,15.372,0.003,14.890,0.005,14.559,0.006,,,,,,,267.7463798,-29.0661843,26.704874632212597
GB12979946,4559.498,0.080,4250.120,0.036,25.015,,21.908,,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7551134,-29.0729423,26.706822858493783
GB01851040,3919.383,0.029,5009.038,0.018,21.508,0.003,19.648,0.009,4,HD43_ACSWFC,18.571,0.009,17.313,0.010,17.030,0.016,16.842,0.024,,,,20.784,,,267.7632400,-29.0645034,26.70864099144271
GB03495735,4613.990,0.048,5583.743,0.013,23.620,0.020,20.322,0.012,4,HD43_ACSWFC,18.433,0.009,16.464,0.006,16.082,0.010,15.790,0.012,,,,,,,267.7544051,-29.0581179,26.709574488612148
GB10491486,3915.021,0.035,4864.252,0.044,25.006,,21.586,0.012,3,HD43_ACSWFC,,,,,,,,,,,,,,,267.7632958,-29.0661124,26.711243572033204
GB20188405,3915.744,0.012,4979.258,0.007,,,22.872,0.020,2,HD43_ACSWFC,20.964,0.045,18.945,0.028,18.406,0.042,18.156,0.063,,,,,,,267.7632865,-29.0648344,26.715968855603773
GB08360663,4673.256,0.148,5578.376,0.102,24.306,0.017,21.283,,3,HD43_ACSWFC,,,,,,,,,,,,,,,267.7536527,-29.0581783,26.71768081920176
GB11527831,5095.183,0.163,5342.906,0.048,25.245,0.111,21.723,0.031,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7482909,-29.0607961,26.72054505371635
GB15222782,4067.390,0.096,5344.723,0.022,25.240,,22.188,0.013,3,HD43_ACSWFC,,,,,,,,,,,,,,,267.7613540,-29.0607725,26.722159360313903
GB03127194,4012.162,0.044,4565.861,0.004,21.902,0.000,20.208,0.001,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7620651,-29.0694297,26.74170700073905
GB00011845,4672.330,0.019,4254.169,0.068,15.345,0.004,13.899,0.002,4,HD43_ACSWFC,,,,,,,,,,,4057339301201874176,,,,267.7536759,-29.0728964,26.775869657665638
GB05382485,4631.046,0.040,5584.639,0.020,24.051,0.006,20.772,0.011,4,HD43_ACSWFC,18.856,0.011,16.965,0.008,16.586,0.013,16.337,0.017,,,,,,,267.7541883,-29.0581080,26.788208510960768
GB05766716,4122.921,0.094,4428.658,0.031,24.485,0.068,20.847,0.024,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7606585,-29.0709551,26.790040661378768
GB17128396,4773.019,0.199,5558.347,0.104,,,22.429,0.068,2,HD43_ACSWFC,20.684,0.036,18.895,0.028,18.486,0.046,18.474,0.083,,,,,,,267.7523839,-29.0584006,26.790556405308894
GB00781076,4664.965,0.008,5581.328,0.026,21.694,0.008,18.378,0.009,4,HD43_ACSWFC,16.444,0.003,14.476,0.002,14.066,0.003,13.766,0.004,,,4057339507277552384,19.827,21.366,17.954,267.7537572,-29.0581449,26.79321495981193
GB17155699,4559.868,0.043,5586.450,0.021,,,22.432,0.051,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7550929,-29.0580876,26.797091009846696
GB21821072,4074.080,0.235,4478.764,0.394,26.522,,23.319,,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7612793,-29.0703976,26.809194256415633
GB04814322,4309.900,0.038,4304.225,0.072,24.394,0.094,20.653,0.081,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7582828,-29.0723389,26.814890323380116
GB10393066,5075.644,0.082,4464.486,0.214,25.165,,21.573,0.005,3,HD43_ACSWFC,19.595,0.017,17.681,0.012,17.310,0.019,17.064,0.027,,,,,,,267.7485480,-29.0705600,26.820239568008493
GB10188637,4383.943,0.145,5557.992,0.040,25.178,,21.545,0.017,3,HD43_ACSWFC,,,,,,,,,,,,,,,267.7573305,-29.0584036,26.82382991708248
GB15728125,5182.437,0.235,5213.711,0.091,25.378,0.028,22.251,,3,HD43_ACSWFC,20.379,0.029,18.559,0.021,18.245,0.037,17.960,0.053,,,,,,,267.7471821,-29.0622318,26.84110029724636
GB21659503,4084.649,0.039,4464.717,0.140,,,23.238,0.033,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7611447,-29.0705543,26.866876025747494
GB17872817,4361.668,0.086,4282.436,0.210,,,22.527,0.049,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7576249,-29.0725813,26.868981993517586
GB10079214,4794.682,0.033,5554.580,0.075,24.801,,21.530,,2,HD43_ACSWFC,19.649,0.018,17.833,0.013,17.540,0.023,17.255,0.031,,,,,,,267.7521116,-29.0584437,26.90239549178498
GB04742831,4610.147,0.085,5589.477,0.036,23.939,0.030,20.637,,3,HD43_ACSWFC,18.764,0.011,16.828,0.008,16.448,0.012,16.140,0.016,,,,,,,267.7544548,-29.0580547,26.929436466812785
GB17339258,5207.794,0.328,4671.039,0.103,25.676,,22.456,,2,HD43_ACSWFC,20.531,0.032,18.514,0.021,18.186,0.037,17.937,0.054,,,,,,,267.7468656,-29.0682638,26.936614237605774
GB16175179,3967.538,0.134,5197.814,0.029,,,22.307,0.020,2,HD43_ACSWFC,20.301,0.028,18.305,0.018,17.987,0.031,17.746,0.046,,,,,,,267.7626259,-29.0624053,26.97450388959861
GB10278230,4782.826,0.105,5560.207,0.023,24.561,0.039,21.557,0.055,4,HD43_ACSWFC,19.688,0.018,17.911,0.014,17.560,0.023,17.281,0.032,,,,,,,267.7522593,-29.0583800,26.97671003213828
GB21701479,4208.344,0.108,5479.887,0.031,,,23.257,0.052,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7595621,-29.0592709,26.995990354390685
GB10674306,5124.844,0.045,4517.432,0.004,,,21.610,0.017,2,HD43_ACSWFC,19.493,0.016,17.317,0.010,16.874,0.015,16.552,0.019,,,,,,,267.7479209,-29.0699715,26.999955700844797
GB16784331,4694.799,0.119,5582.361,0.115,25.306,0.054,22.384,0.016,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7533780,-29.0581335,27.010458370034694
GB14314365,4561.721,0.134,4241.847,0.173,25.875,,22.075,,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7550852,-29.0730343,27.03509815793587
GB15310968,5221.879,0.183,5131.783,0.172,25.569,,22.199,0.045,3,HD43_ACSWFC,20.292,0.027,18.258,0.017,17.920,0.029,17.660,0.042,,,,,,,267.7466833,-29.0631433,27.043976749541496
GB02000531,4193.756,0.035,4362.939,0.022,23.505,0.039,19.736,0.017,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7597587,-29.0716859,27.049191978495482
GB08682565,4570.755,0.053,4241.282,0.071,24.909,,21.331,,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7549703,-29.0730406,27.049593421156747
GB11565818,4716.597,0.388,4254.342,0.297,,,21.728,0.094,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7531131,-29.0728947,27.06763845940325
GB00666260,4551.318,0.024,4241.277,0.049,22.436,,18.122,,2,HD43_ACSWFC,,,,,,,,,,,4057339301118831488,,,,267.7552174,-29.0730406,27.07314494279855
GB10366608,4593.310,0.121,5593.610,0.140,24.647,0.032,21.569,0.032,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7546678,-29.0580081,27.075850981634698
GB12794267,3905.260,0.134,4961.734,0.090,25.489,0.048,21.885,0.006,4,HD43_ACSWFC,19.864,0.020,17.899,0.014,17.458,0.022,17.195,0.030,,,,,,,267.7634200,-29.0650291,27.07872753782131
GB08920198,5159.595,0.145,5268.112,0.033,24.250,0.036,21.366,0.046,4,HD43_ACSWFC,19.876,0.020,18.421,0.020,18.129,0.034,17.741,0.045,,,,,,,267.7474728,-29.0616276,27.084810429624927
GB19883920,4894.597,0.072,5516.783,0.113,,,22.820,0.049,2,HD43_ACSWFC,20.734,0.037,18.708,0.024,18.293,0.039,18.065,0.058,,,,,,,267.7508389,-29.0588629,27.08655151041516
GB11750941,4821.559,0.153,5549.651,0.096,25.293,,21.752,0.009,3,HD43_ACSWFC,19.690,0.018,17.550,0.011,17.106,0.017,16.818,0.023,,,,,,,267.7517659,-29.0584972,27.088175915177622
GB02411999,4135.993,0.056,4406.372,0.037,23.727,0.030,19.939,0.013,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7604926,-29.0712029,27.101609829140966
GB02222540,3909.707,0.029,4817.938,0.025,23.603,0.021,19.851,0.001,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7633649,-29.0666274,27.135864835701394
GB01191246,4274.975,0.018,4311.856,0.036,22.722,0.013,19.057,0.007,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7587267,-29.0722539,27.13663254056387
GB16688484,3902.792,0.215,4944.349,0.090,25.785,,22.372,0.014,3,HD43_ACSWFC,20.388,0.029,18.577,0.021,18.190,0.036,18.021,0.056,,,,,,,267.7634527,-29.0652226,27.14426447610029
GB12969944,4983.084,0.064,5463.400,0.016,25.229,,21.907,0.003,3,HD43_ACSWFC,19.946,0.023,18.034,0.016,17.729,0.027,17.491,0.040,,,,,,,267.7497158,-29.0594567,27.147768150680726
GB00652587,4049.162,0.020,5339.122,0.033,21.960,0.010,18.089,0.014,4,HD43_ACSWFC,15.882,0.002,13.628,0.001,13.159,0.002,12.791,0.002,,,,19.608,,,267.7615869,-29.0608350,27.148343589266993
GB08042309,5030.749,0.034,5425.377,0.041,23.460,0.005,21.234,0.025,4,HD43_ACSWFC,19.881,0.021,18.476,0.020,18.173,0.036,17.963,0.054,,,,,,,267.7491092,-29.0598793,27.164930788425302
GB07550628,5077.463,0.094,5381.121,0.128,24.927,0.038,21.157,0.019,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7485158,-29.0603713,27.199073034522193
GB00074174,4326.655,0.042,4285.691,0.051,17.026,0.001,15.621,0.005,4,HD43_ACSWFC,,,,,,,,,,,4057339301118784768,,,,267.7580700,-29.0725449,27.237281486769145
GB19207132,4054.091,0.207,4485.753,0.105,,,22.714,0.127,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7615329,-29.0703203,27.240776159176544
GB06374036,4763.375,0.119,5573.038,0.048,24.291,0.045,20.959,0.017,4,HD43_ACSWFC,18.964,0.012,16.968,0.008,16.595,0.013,16.296,0.017,,,,,,,267.7525064,-29.0582373,27.247997423437997
GB18261810,4379.604,0.035,5567.765,0.095,,,22.579,0.040,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7573844,-29.0582947,27.24839945994546
GB15198019,3995.623,0.240,5266.320,0.044,25.535,,22.184,,2,HD43_ACSWFC,20.121,0.024,18.170,0.016,17.784,0.027,17.540,0.039,,,,,,,267.7622652,-29.0616427,27.249064027607638
GB17665769,4963.269,0.366,4353.081,0.036,25.354,,22.499,,2,HD43_ACSWFC,21.069,0.047,19.810,0.052,19.431,0.095,19.792,0.247,,,,,,,267.7499768,-29.0717973,27.256825198620717
GB12082408,5247.183,0.205,5059.790,0.055,25.027,0.058,21.794,0.051,4,HD43_ACSWFC,19.820,0.020,17.848,0.014,17.458,0.022,17.283,0.033,,,,,,,267.7463613,-29.0639433,27.26200707563098
GB16719151,4754.655,0.371,5575.783,0.152,,,22.376,0.072,2,HD43_ACSWFC,20.522,0.033,18.605,0.024,18.301,0.041,18.043,0.060,,,,,,,267.7526171,-29.0582067,27.26294137935815
GB07041886,4161.166,0.081,5454.470,0.064,24.693,0.026,21.074,0.000,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7601621,-29.0595533,27.272153296872755
GB14750660,5123.751,0.004,4504.284,0.020,,,22.129,0.030,2,HD43_ACSWFC,20.078,0.023,17.900,0.014,17.515,0.022,17.242,0.031,,,,,,,267.7479349,-29.0701176,27.27979480016299
GB09365787,4005.747,0.041,5284.425,0.036,25.250,0.054,21.430,0.010,4,HD43_ACSWFC,19.326,0.015,17.234,0.010,16.872,0.015,16.579,0.020,,,,,,,267.7621393,-29.0614428,27.290805891605224
GB15142243,5186.525,0.041,4602.199,0.081,25.651,,22.177,,2,HD43_ACSWFC,20.221,0.026,18.231,0.017,17.840,0.028,17.649,0.042,,,,,,,267.7471365,-29.0690289,27.302144786212928
GB21554689,3966.869,0.035,5215.793,0.081,,,23.196,0.055,2,HD43_ACSWFC,21.122,0.050,19.171,0.034,18.970,0.067,18.690,0.098,,,,,,,267.7626342,-29.0622055,27.305579075479972
GB18820171,3898.092,0.109,4902.267,0.104,,,22.658,0.065,2,HD43_ACSWFC,20.625,0.034,18.677,0.023,18.365,0.041,18.026,0.056,,,,,,,267.7635117,-29.0656901,27.313863505490847
GB18164129,3900.375,0.058,4847.522,0.008,,,22.566,0.020,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7634833,-29.0662986,27.359258535328856
GB00044923,4182.115,0.040,5473.030,0.036,17.556,0.013,15.097,0.018,4,HD43_ACSWFC,13.521,0.001,11.914,0.001,11.603,0.001,11.328,0.001,,,4057339296822937600,16.441,18.508,15.119,267.7598956,-29.0593470,27.365112122758024
GB01381838,4702.062,0.033,5590.146,0.019,22.590,0.009,19.275,0.022,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7532856,-29.0580470,27.367646154711025
GB18958159,5137.810,0.083,4519.597,0.140,,,22.678,0.062,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7477561,-29.0699474,27.368884007312715
GB14965967,4279.320,0.023,5531.263,0.105,25.165,,22.155,0.037,3,HD43_ACSWFC,20.434,0.030,18.639,0.023,18.235,0.037,18.079,0.059,,,,,,,267.7586606,-29.0587003,27.370912146314776
GB18821049,3915.631,0.326,4755.711,0.090,,,22.658,0.030,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7632903,-29.0673192,27.381061035957178
GB11547669,3966.675,0.077,4614.311,0.108,24.922,,21.726,,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7626432,-29.0688905,27.3943541328872
